breed,breed_info_link,breed_img_link
Barbet,https://dogtime.com/dog-breeds/barbet,https://www.dogtime.com/assets/uploads/2011/01/file_23288_barbet-300x189.jpg
Basenji,https://dogtime.com/dog-breeds/basenji,https://www.dogtime.com/assets/uploads/2011/01/file_23008_basenji-300x189.jpg
Bassador,https://dogtime.com/dog-breeds/bassador,https://www.dogtime.com/assets/uploads/2019/07/bassador-mixed-breed-dog-pictures-cover-650x368.jpg
Basset Fauve de Bretagne,https://dogtime.com/dog-breeds/basset-fauve-de-bretagne,https://www.dogtime.com/assets/uploads/2019/09/Basset-Fauve-de-Bretagne-dog-breed-pictures-cover-650x368.jpg
Basset Hound,https://dogtime.com/dog-breeds/basset-hound,https://www.dogtime.com/assets/uploads/2011/01/file_23010_basset-hound-300x189.jpg
Basset Retriever,https://dogtime.com/dog-breeds/basset-retriever,https://www.dogtime.com/assets/uploads/2019/11/basset-retriever-mixed-dog-breed-pictures-cover-650x368.jpg
Bavarian Mountain Scent Hound,https://dogtime.com/dog-breeds/bavarian-mountain-scent-hound,https://www.dogtime.com/assets/uploads/2019/09/Bavarian-Mountain-Scent-Hound-dog-breed-pictures-cover-650x368.jpg
Beabull,https://dogtime.com/dog-breeds/beabull,https://www.dogtime.com/assets/uploads/2019/12/beabull-mixed-dog-breed-pictures-cover-650x368.jpg
Beagle,https://dogtime.com/dog-breeds/beagle,https://www.dogtime.com/assets/uploads/2011/01/file_23012_beagle-300x189.jpg
Beaglier,https://dogtime.com/dog-breeds/beaglier,https://www.dogtime.com/assets/uploads/2019/11/beaglier-mixed-dog-breed-pictures-cover-650x368.jpg
Bearded Collie,https://dogtime.com/dog-breeds/bearded-collie,https://www.dogtime.com/assets/uploads/2011/01/file_23170_bearded-collie-300x189.jpg
Bedlington Terrier,https://dogtime.com/dog-breeds/bedlington-terrier,https://www.dogtime.com/assets/uploads/2011/01/file_23056_bedlington-terrier-300x189.jpg
Belgian Malinois,https://dogtime.com/dog-breeds/belgian-malinois,https://www.dogtime.com/assets/uploads/2011/01/file_23172_belgian-malinois-300x189.jpg
Belgian Sheepdog,https://dogtime.com/dog-breeds/belgian-sheepdog,https://www.dogtime.com/assets/uploads/2011/01/file_23174_belgian-sheepdog-300x189.jpg
Belgian Tervuren,https://dogtime.com/dog-breeds/belgian-tervuren,https://www.dogtime.com/assets/uploads/2011/01/file_23176_belgian-tervuren-300x189.jpg
Bergamasco Sheepdog,https://dogtime.com/dog-breeds/bergamasco-sheepdog,https://www.dogtime.com/assets/uploads/2020/05/Bergamasco-Sheepdog-breed-pictures-cover-650x368.jpg
Berger Picard,https://dogtime.com/dog-breeds/berger-picard,https://www.dogtime.com/assets/uploads/2011/01/file_23290_berger-picard-300x189.jpg
Bernedoodle,https://dogtime.com/dog-breeds/bernedoodle,https://www.dogtime.com/assets/uploads/2017/10/bernedoodle-dog-breed-pictures-cover-650x368.jpg
Bernese Mountain Dog,https://dogtime.com/dog-breeds/bernese-mountain-dog,https://www.dogtime.com/assets/uploads/2011/01/file_22912_bernese-mountain-dog-300x189.jpg
Bichon Frise,https://dogtime.com/dog-breeds/bichon-frise,https://www.dogtime.com/assets/uploads/2011/01/file_23136_bichon-frise-300x189.jpg
Biewer Terrier,https://dogtime.com/dog-breeds/biewer-terrier,https://www.dogtime.com/assets/uploads/2019/08/biewer-terrier-dog-breed-pictures-cover-650x368.jpg
Black and Tan Coonhound,https://dogtime.com/dog-breeds/black-and-tan-coonhound,https://www.dogtime.com/assets/uploads/2011/01/file_23014_black-and-tan-coonhound-300x189.jpg
Black Mouth Cur,https://dogtime.com/dog-breeds/black-mouth-cur,https://www.dogtime.com/assets/uploads/2017/11/black-mouth-cur-dog-breed-pictures-cover-650x368.jpg
Black Russian Terrier,https://dogtime.com/dog-breeds/black-russian-terrier,https://www.dogtime.com/assets/uploads/2011/01/file_22914_black-russian-terrier-300x189.jpg
Bloodhound,https://dogtime.com/dog-breeds/bloodhound,https://www.dogtime.com/assets/uploads/2011/01/file_23016_bloodhound-300x189.jpg
Blue Lacy,https://dogtime.com/dog-breeds/blue-lacy,https://www.dogtime.com/assets/uploads/2018/04/blue-lacy-dog-breed-pictures-header-650x368.jpg
Bluetick Coonhound,https://dogtime.com/dog-breeds/bluetick-coonhound,https://www.dogtime.com/assets/uploads/2011/01/file_23238_bluetick-coonhound-300x189.jpg
Bocker,https://dogtime.com/dog-breeds/bocker,https://www.dogtime.com/assets/uploads/2019/09/bocker-mixed-dog-breed-pictures-cover-650x368.jpg
Boerboel,https://dogtime.com/dog-breeds/boerboel,https://www.dogtime.com/assets/uploads/2018/01/boerboel-dog-breed-pictures-cover-650x368.jpg
